,Enero-marzo 2022,Enero-marzo 2023,Variacion % 2023/2022
TOTAL NACIONAL
    I. CRIMINALIDAD CONVENCIONAL,454524.0,480906.0,5.8
    1. Homicidios dolosos y asesinatos consumados,74.0,84.0,13.5
    2. Homicidios dolosos y asesinatos en grado tentativa,246.0,279.0,13.4
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,5365.0,5698.0,6.2
    4. Secuestro,13.0,34.0,161.5
    5. Delitos contra la libertad sexual,3682.0,4303.0,16.9
    5.1.-Agresion sexual con penetracion,984.0,1021.0,3.8
    5.2.-Resto de delitos contra la libertad sexual,2698.0,3282.0,21.6
    6. Robos con violencia e intimidacion,14787.0,15458.0,4.5
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,30111.0,31984.0,6.2
    7.1.-Robos con fuerza en domicilios,21043.0,21541.0,2.4
    8. Hurtos,145305.0,163476.0,12.5
    9. Sustracciones de vehiculos,7106.0,7870.0,10.8
    10. Trafico de drogas,4515.0,4901.0,8.5
    11. Resto de criminalidad convencional,243320.0,246819.0,1.4
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),94774.0,107879.0,13.8
    12.-Estafas informaticas,84889.0,96561.0,13.7
    13.-Otros ciberdelitos,9885.0,11318.0,14.5
    III. TOTAL INFRACCIONES PENALES,549298.0,588785.0,7.2
ANDALUCIA
    I. CRIMINALIDAD CONVENCIONAL,74769.0,79848.0,6.8
    1. Homicidios dolosos y asesinatos consumados,14.0,22.0,57.1
    2. Homicidios dolosos y asesinatos en grado tentativa,57.0,66.0,15.8
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,994.0,1072.0,7.8
    4. Secuestro,3.0,12.0,300.0
    5. Delitos contra la libertad sexual,590.0,723.0,22.5
    5.1.-Agresion sexual con penetracion,118.0,127.0,7.6
    5.2.-Resto de delitos contra la libertad sexual,472.0,596.0,26.3
    6. Robos con violencia e intimidacion,1784.0,1763.0,-1.2
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,4451.0,4946.0,11.1
    7.1.-Robos con fuerza en domicilios,3029.0,3310.0,9.3
    8. Hurtos,20236.0,23042.0,13.9
    9. Sustracciones de vehiculos,1191.0,1355.0,13.8
