,Enero-junio 2022,Enero-junio 2023,Variacion % 2023/2022
TOTAL NACIONAL
    I. CRIMINALIDAD CONVENCIONAL,943810.0,972640.0,3.1
    1. Homicidios dolosos y asesinatos consumados,159.0,177.0,11.3
    2. Homicidios dolosos y asesinatos en grado tentativa,547.0,639.0,16.8
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,12369.0,12708.0,2.7
    4. Secuestro,38.0,65.0,71.1
    5. Delitos contra la libertad sexual,8448.0,9560.0,13.2
    5.1.-Agresion sexual con penetracion,2078.0,2307.0,11.0
    5.2.-Resto de delitos contra la libertad sexual,6370.0,7253.0,13.9
    6. Robos con violencia e intimidacion,30254.0,31146.0,2.9
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,58195.0,59534.0,2.3
    7.1.-Robos con fuerza en domicilios,41004.0,40341.0,-1.6
    8. Hurtos,306089.0,325006.0,6.2
    9. Sustracciones de vehiculos,14714.0,15898.0,8.0
    10. Trafico de drogas,9464.0,10598.0,12.0
    11. Resto de criminalidad convencional,503533.0,507309.0,0.7
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),181782.0,217679.0,19.7
    12.-Estafas informaticas,161940.0,195769.0,20.9
    13.-Otros ciberdelitos,19842.0,21910.0,10.4
    III. TOTAL INFRACCIONES PENALES,1125592.0,1190319.0,5.8
ANDALUCIA
    I. CRIMINALIDAD CONVENCIONAL,156177.0,163980.0,5.0
    1. Homicidios dolosos y asesinatos consumados,38.0,43.0,13.2
    2. Homicidios dolosos y asesinatos en grado tentativa,127.0,133.0,4.7
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,2259.0,2429.0,7.5
    4. Secuestro,8.0,22.0,175.0
    5. Delitos contra la libertad sexual,1348.0,1571.0,16.5
    5.1.-Agresion sexual con penetracion,257.0,298.0,16.0
    5.2.-Resto de delitos contra la libertad sexual,1091.0,1273.0,16.7
    6. Robos con violencia e intimidacion,3533.0,3624.0,2.6
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,9265.0,9650.0,4.2
    7.1.-Robos con fuerza en domicilios,6457.0,6508.0,0.8
    8. Hurtos,42910.0,47228.0,10.1
    9. Sustracciones de vehiculos,2617.0,2917.0,11.5
    10. Trafico de drogas,2396.0,2528.0,5.5
    11. Resto de criminalidad convencional,91676.0,93835.0,2.4
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),26741.0,36023.0,34.7
    12.-Estafas informaticas,22919.0,31972.0,39.5
    13.-Otros ciberdelitos,3822.0,4051.0,6.0
    III. TOTAL INFRACCIONES PENALES,182918.0,200003.0,9.3
ARAGON
    I. CRIMINALIDAD CONVENCIONAL,19172.0,18433.0,-3.9
    1. Homicidios dolosos y asesinatos consumados,6.0,5.0,-16.7
    2. Homicidios dolosos y asesinatos en grado tentativa,9.0,18.0,100.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,345.0,305.0,-11.6
    4. Secuestro,0.0,0.0,0.0
    5. Delitos contra la libertad sexual,202.0,221.0,9.4
    5.1.-Agresion sexual con penetracion,46.0,49.0,6.5
    5.2.-Resto de delitos contra la libertad sexual,156.0,172.0,10.3
    6. Robos con violencia e intimidacion,653.0,498.0,-23.7
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,1243.0,1307.0,5.1
    7.1.-Robos con fuerza en domicilios,760.0,909.0,19.6
    8. Hurtos,5221.0,4831.0,-7.5
    9. Sustracciones de vehiculos,131.0,163.0,24.4
    10. Trafico de drogas,186.0,233.0,25.3
    11. Resto de criminalidad convencional,11176.0,10852.0,-2.9
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),4278.0,5731.0,34.0
    12.-Estafas informaticas,3833.0,5105.0,33.2
    13.-Otros ciberdelitos,445.0,626.0,40.7
    III. TOTAL INFRACCIONES PENALES,23450.0,24164.0,3.0
ASTURIAS (PRINCIPADO DE)
